combo_index,removed_groups,n_groups_removed,N_removed,N_keep,group_mode,t_anchor_gyr,chi2_baseline,chi2_lta,dchi2,H0_baseline,Om_baseline,alpha_baseline,H0_lta,Om_lta,alpha_lta,s_anchor,gC,gL
1,LowZ_Other,1,8,346,telescope,0.6700128555053195,314.8059661800971,302.55028272884755,12.255683451249524,68.51450355799655,0.29967948193168786,0.9979166184125423,68.50784724986056,0.29975890594939647,0.9979217754953419,2.331911048433097,1.0,1.0
2,PS1,1,20,334,telescope,0.6697425317528376,327.80874948160704,314.68161447512875,13.127135006478284,68.51461848358868,0.2996769718005861,0.9979355966407242,68.50701225608036,0.2997563524832887,0.9979370791676092,2.4625225395235617,1.0,1.0
3,Foundation,1,72,282,telescope,0.6700206815972739,248.1778341124891,231.52741606682193,16.65041804566718,68.51371008934397,0.2996740415054449,0.9979531143586906,68.50622041713162,0.29975369270863605,0.9979506564934646,2.8463968894776217,1.0,1.0
4,SCP,1,14,340,telescope,0.6740658916839427,320.48680297306623,306.7347486096768,13.752054363389448,68.51293487688713,0.29967113200200185,0.9979685885899611,68.50589440613186,0.29974906029846343,0.9979632903972053,2.468812679126746,1.0,1.0
5,HST,1,34,320,telescope,0.6741265625839855,302.6034210271432,288.67081487591054,13.932606151232676,68.51224233241123,0.299668467336809,0.9979824966547655,68.5053341032904,0.2997466806307075,0.9979745536440005,2.526305797283907,1.0,1.0
6,SNLS,1,10,344,telescope,0.674078597352563,325.34272272475215,312.8311376212915,12.511585103460675,68.51165015858459,0.2996658269281829,0.997994853650474,68.50504788630823,0.29974273775599947,0.9979847230868056,2.364619994392464,1.0,1.0
7,SDSS,1,1,353,telescope,0.6700452594465521,332.55534939612306,318.83989892383147,13.715450472291593,68.5112116520647,0.29966228646265114,0.9980060390825573,68.5047270195628,0.29973930509231733,0.997993582640305,2.458442232893515,1.0,1.0
8,CSP,1,27,327,telescope,0.6700485098055023,309.58150257720524,296.3381314074327,13.243371169772558,68.51088419155657,0.29965838353493957,0.9980160082367757,68.50468233926324,0.2997334957959249,0.9980017380316679,2.45395359008028,1.0,1.0
9,CfA,1,91,263,telescope,0.668505903042127,273.0273536475882,251.95610679187038,21.071246855717817,68.51031517707743,0.299657074560772,0.9980263052992976,68.50247395906416,0.29974899303341945,0.9980112996078483,3.2983865488824584,1.0,1.0
